model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
LCM_9.4M,0.9343928802904036,0.0008859218997972302,1.0,0.0,0.13121422163043034,0.0017718440838974127,0.8687857783695698,0.0017718440838974136,0.0,0.0,0.8864979327730215,0.001408709899191789,1.0,0.0,0.9391648901148653,0.0007864914612077237
LCM_9.1M_modifiedperm_CI_CR_12_3_synth_230k_sim_34k_pt,0.9476598101705777,0.0006547509046563135,0.9937555310071428,0.0006696441891993336,0.09843588428154809,0.0012542694770749177,0.9015641157184519,0.0012542694770749166,0.0062444689928570375,0.0006696441891993343,0.9129286652620052,0.00101529595426259,0.9937555310071428,0.0006696441891993336,0.9505645305183883,0.0006131239071594126
